ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q96N96	spermatogenesis associated 13(SPATA13)	Homo sapiens				GO:0016477~cell migration,GO:0030032~lamellipodium assembly,GO:0030334~regulation of cell migration,GO:0035023~regulation of Rho protein signal transduction,GO:0043547~positive regulation of GTPase activity,GO:0046847~filopodium assembly,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0030027~lamellipodium,GO:0030175~filopodium,GO:0032587~ruffle membrane,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005089~Rho guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0030676~Rac guanyl-nucleotide exchange factor activity,	IPR000219:Dbl homology (DH) domain,IPR001452:Src homology-3 domain,IPR001849:Pleckstrin homology domain,IPR011993:Pleckstrin homology-like domain,				SM00233:PH,SM00325:RhoGEF,SM00326:SH3,	Alternative splicing,Cell membrane,Cell projection,Complete proteome,Cytoplasm,Guanine-nucleotide releasing factor,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH3 domain,	chain:Spermatogenesis-associated protein 13,compositionally biased region:Poly-Arg,domain:DH,domain:PH,domain:SH3,sequence variant,
Q8AXL1	spermidine/spermine N1-acetyltransferase 1(SAT1)	Gallus gallus			General function prediction only,	GO:0001525~angiogenesis,GO:0009447~putrescine catabolic process,GO:0032918~spermidine acetylation,GO:0032919~spermine acetylation,GO:0032920~putrescine acetylation,GO:0042127~regulation of cell proliferation,GO:0046204~nor-spermidine metabolic process,GO:0046208~spermine catabolic process,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004145~diamine N-acetyltransferase activity,GO:0019809~spermidine binding,	IPR000182:GNAT domain,IPR016181:Acyl-CoA N-acyltransferase,	gga00330:Arginine and proline metabolism,gga01100:Metabolic pathways,				Acyltransferase,Complete proteome,Cytoplasm,Reference proteome,Transferase,	binding site:Substrate,binding site:Substrate; via carbonyl oxygen,chain:Diamine acetyltransferase 1,domain:N-acetyltransferase,region of interest:Acetyl-CoA binding,region of interest:Substrate binding,
Q7PCJ8	spermidine/spermine N1-acetyltransferase family member 2(SAT2)	Bos taurus				GO:0009447~putrescine catabolic process,GO:0032918~spermidine acetylation,GO:0032919~spermine acetylation,GO:0032920~putrescine acetylation,GO:0046204~nor-spermidine metabolic process,GO:0046208~spermine catabolic process,	GO:0005737~cytoplasm,GO:0070062~extracellular exosome,	GO:0004145~diamine N-acetyltransferase activity,GO:0019809~spermidine binding,	IPR000182:GNAT domain,IPR016181:Acyl-CoA N-acyltransferase,	bta00330:Arginine and proline metabolism,bta01100:Metabolic pathways,				Acetylation,Acyltransferase,Complete proteome,Cytoplasm,Reference proteome,Transferase,	binding site:Acetyl-CoA,binding site:Substrate,binding site:Substrate; via carbonyl oxygen,chain:Diamine acetyltransferase 2,domain:N-acetyltransferase,modified residue,region of interest:Acetyl-CoA binding,region of interest:Substrate binding,
Q7ZVF3	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)(sdha)	Danio rerio				GO:0006099~tricarboxylic acid cycle,GO:0006105~succinate metabolic process,GO:0006121~mitochondrial electron transport, succinate to ubiquinone,GO:0006810~transport,GO:0009061~anaerobic respiration,GO:0022900~electron transport chain,GO:0022904~respiratory electron transport chain,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005749~mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone),GO:0016020~membrane,	GO:0000104~succinate dehydrogenase activity,GO:0008177~succinate dehydrogenase (ubiquinone) activity,GO:0009055~electron carrier activity,GO:0016491~oxidoreductase activity,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0050660~flavin adenine dinucleotide binding,	IPR003952:Fumarate reductase/succinate dehydrogenase, FAD-binding site,IPR003953:FAD binding domain,IPR011281:Succinate dehydrogenase, flavoprotein subunit,IPR014006:Succinate dehydrogenase/fumarate reductase, flavoprotein subunit,IPR015939:Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,IPR027477:Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain,	dre00020:Citrate cycle (TCA cycle),dre00190:Oxidative phosphorylation,dre01100:Metabolic pathways,dre01130:Biosynthesis of antibiotics,dre01200:Carbon metabolism,		PIRSF000171:succinate dehydrogenase, flavoprotein subunit (SDHA/APRA/LASPO),		Complete proteome,Electron transport,FAD,Flavoprotein,Membrane,Mitochondrion,Mitochondrion inner membrane,Oxidoreductase,Proteomics identification,Reference proteome,Transit peptide,Transport,Tricarboxylic acid cycle,	active site:Proton acceptor,binding site:Substrate,chain:Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial,modified residue,sequence conflict,transit peptide:Mitochondrion,
A5PL98	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)(sdhb)	Danio rerio				GO:0006099~tricarboxylic acid cycle,GO:0006810~transport,GO:0009060~aerobic respiration,GO:0022904~respiratory electron transport chain,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005749~mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone),GO:0016020~membrane,GO:0031966~mitochondrial membrane,GO:0045273~respiratory chain complex II,	GO:0000104~succinate dehydrogenase activity,GO:0008177~succinate dehydrogenase (ubiquinone) activity,GO:0009055~electron carrier activity,GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0048039~ubiquinone binding,GO:0051536~iron-sulfur cluster binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051538~3 iron, 4 sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,IPR004489:Succinate dehydrogenase/fumarate reductase iron-sulphur protein,IPR006058:2Fe-2S ferredoxin, iron-sulphur binding site,IPR009051:Alpha-helical ferredoxin,IPR012675:Beta-grasp domain,IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain,IPR017900:4Fe-4S ferredoxin, iron-sulphur binding, conserved site,IPR025192:Succinate dehydogenase/fumarate reductase N-terminal,	dre00020:Citrate cycle (TCA cycle),dre00190:Oxidative phosphorylation,dre01100:Metabolic pathways,dre01130:Biosynthesis of antibiotics,dre01200:Carbon metabolism,				2Fe-2S,3Fe-4S,4Fe-4S,Complete proteome,Electron transport,Iron,Iron-sulfur,Membrane,Metal-binding,Mitochondrion,Mitochondrion inner membrane,Oxidoreductase,Reference proteome,Transit peptide,Transport,Tricarboxylic acid cycle,	binding site:Ubiquinone; shared with DHSD,chain:Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial,domain:2Fe-2S ferredoxin-type,domain:4Fe-4S ferredoxin-type,metal ion-binding site:Iron-sulfur 1 (2Fe-2S),metal ion-binding site:Iron-sulfur 2 (4Fe-4S),metal ion-binding site:Iron-sulfur 3 (3Fe-4S),transit peptide:Mitochondrion,
Q96I99	succinate-CoA ligase GDP-forming beta subunit(SUCLG2)	Homo sapiens				GO:0006099~tricarboxylic acid cycle,GO:0006104~succinyl-CoA metabolic process,GO:0006105~succinate metabolic process,GO:0008152~metabolic process,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005815~microtubule organizing center,GO:0005886~plasma membrane,GO:0045244~succinate-CoA ligase complex (GDP-forming),	GO:0003824~catalytic activity,GO:0004776~succinate-CoA ligase (GDP-forming) activity,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0016874~ligase activity,GO:0019003~GDP binding,GO:0046982~protein heterodimerization activity,	IPR005809:Succinyl-CoA synthetase, beta subunit,IPR005811:ATP-citrate lyase/succinyl-CoA ligase,IPR013650:ATP-grasp fold, succinyl-CoA synthetase-type,IPR013815:ATP-grasp fold, subdomain 1,IPR013816:ATP-grasp fold, subdomain 2,IPR016102:Succinyl-CoA synthetase-like,IPR017866:Succinyl-CoA synthetase, beta subunit, conserved site,	hsa00020:Citrate cycle (TCA cycle),hsa00640:Propanoate metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,		PIRSF001554:succinyl-CoA synthetase, beta subunit,		Acetylation,Alternative splicing,Complete proteome,GTP-binding,Ligase,Mitochondrion,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,Tricarboxylic acid cycle,	chain:Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial,domain:ATP-grasp,modified residue,sequence conflict,sequence variant,transit peptide:Mitochondrion,
P53597	succinate-CoA ligase alpha subunit(SUCLG1)	Homo sapiens				GO:0006099~tricarboxylic acid cycle,GO:0006104~succinyl-CoA metabolic process,GO:0006105~succinate metabolic process,GO:0008152~metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0004775~succinate-CoA ligase (ADP-forming) activity,GO:0004776~succinate-CoA ligase (GDP-forming) activity,GO:0005525~GTP binding,GO:0016874~ligase activity,GO:0044822~poly(A) RNA binding,GO:0048037~cofactor binding,	IPR003781:CoA-binding,IPR005810:Succinyl-CoA ligase, alpha subunit,IPR005811:ATP-citrate lyase/succinyl-CoA ligase,IPR016040:NAD(P)-binding domain,IPR016102:Succinyl-CoA synthetase-like,IPR017440:ATP-citrate lyase/succinyl-CoA ligase, active site,	hsa00020:Citrate cycle (TCA cycle),hsa00640:Propanoate metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,	245400~Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria),	PIRSF001553:succinyl-CoA synthetase, alpha subunit,	SM00881:SM00881,	Acetylation,Complete proteome,Disease mutation,GTP-binding,Isopeptide bond,Ligase,Mitochondrion,Nucleotide-binding,Proteomics identification,Reference proteome,Transit peptide,Tricarboxylic acid cycle,Ubl conjugation,	active site:Tele-phosphohistidine intermediate,chain:Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),modified residue,sequence conflict,transit peptide:Mitochondrion,
Q9YGD2	succinate-CoA ligase alpha subunit(SUCLG1)	Columba livia				GO:0006099~tricarboxylic acid cycle,	GO:0005739~mitochondrion,	GO:0004775~succinate-CoA ligase (ADP-forming) activity,GO:0004776~succinate-CoA ligase (GDP-forming) activity,GO:0005525~GTP binding,GO:0048037~cofactor binding,	IPR003781:CoA-binding,IPR005810:Succinyl-CoA ligase, alpha subunit,IPR005811:ATP-citrate lyase/succinyl-CoA ligase,IPR016040:NAD(P)-binding domain,IPR016102:Succinyl-CoA synthetase-like,IPR017440:ATP-citrate lyase/succinyl-CoA ligase, active site,	clv00020:Citrate cycle (TCA cycle),clv00640:Propanoate metabolism,clv01100:Metabolic pathways,clv01130:Biosynthesis of antibiotics,clv01200:Carbon metabolism,		PIRSF001553:succinyl-CoA synthetase, alpha subunit,	SM00881:SM00881,	GTP-binding,Ligase,Mitochondrion,Nucleotide-binding,Phosphoprotein,Tricarboxylic acid cycle,
Q9WUM5	succinate-CoA ligase, GDP-forming, alpha subunit(Suclg1)	Mus musculus				GO:0006099~tricarboxylic acid cycle,GO:0006104~succinyl-CoA metabolic process,GO:0006105~succinate metabolic process,GO:0008152~metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0005886~plasma membrane,GO:0043234~protein complex,GO:0045244~succinate-CoA ligase complex (GDP-forming),GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0003824~catalytic activity,GO:0004775~succinate-CoA ligase (ADP-forming) activity,GO:0004776~succinate-CoA ligase (GDP-forming) activity,GO:0005525~GTP binding,GO:0016874~ligase activity,GO:0019003~GDP binding,GO:0044822~poly(A) RNA binding,GO:0046982~protein heterodimerization activity,GO:0048037~cofactor binding,	IPR003781:CoA-binding,IPR005810:Succinyl-CoA ligase, alpha subunit,IPR005811:ATP-citrate lyase/succinyl-CoA ligase,IPR016040:NAD(P)-binding domain,IPR016102:Succinyl-CoA synthetase-like,IPR017440:ATP-citrate lyase/succinyl-CoA ligase, active site,	mmu00020:Citrate cycle (TCA cycle),mmu00640:Propanoate metabolism,mmu01100:Metabolic pathways,mmu01130:Biosynthesis of antibiotics,mmu01200:Carbon metabolism,		PIRSF001553:succinyl-CoA synthetase, alpha subunit,	SM00881:SM00881,	Acetylation,Complete proteome,Direct protein sequencing,GTP-binding,Isopeptide bond,Ligase,Mitochondrion,Nucleotide-binding,Proteomics identification,Reference proteome,Transit peptide,Tricarboxylic acid cycle,Ubl conjugation,	active site:Tele-phosphohistidine intermediate,chain:Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),modified residue,sequence conflict,transit peptide:Mitochondrion,
Q7ZUS4	sulfotransferase family 1, cytosolic sulfotransferase 2(sult1st2)	Danio rerio				GO:0006584~catecholamine metabolic process,GO:0006629~lipid metabolic process,GO:0006805~xenobiotic metabolic process,GO:0008202~steroid metabolic process,GO:0008210~estrogen metabolic process,	GO:0005737~cytoplasm,	GO:0001517~N-acetylglucosamine 6-O-sulfotransferase activity,GO:0001537~N-acetylgalactosamine 4-O-sulfotransferase activity,GO:0004304~estrone sulfotransferase activity,GO:0004394~heparan sulfate 2-O-sulfotransferase activity,GO:0008146~sulfotransferase activity,GO:0016232~HNK-1 sulfotransferase activity,GO:0016740~transferase activity,GO:0017095~heparan sulfate 6-O-sulfotransferase activity,GO:0018721~trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity,GO:0018722~1-phenanthrol sulfotransferase activity,GO:0018723~3-phenanthrol sulfotransferase activity,GO:0018724~4-phenanthrol sulfotransferase activity,GO:0018725~trans-3,4-dihydrodiolphenanthrene sulfotransferase activity,GO:0018726~9-phenanthrol sulfotransferase activity,GO:0018727~2-phenanthrol sulfotransferase activity,GO:0019111~phenanthrol sulfotransferase activity,GO:0034930~1-hydroxypyrene sulfotransferase activity,GO:0050694~galactose 3-O-sulfotransferase activity,GO:0050698~proteoglycan sulfotransferase activity,GO:0051922~cholesterol sulfotransferase activity,GO:0080131~hydroxyjasmonate sulfotransferase activity,	IPR000863:Sulfotransferase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Catecholamine metabolism,Complete proteome,Cytoplasm,Lipid metabolism,Reference proteome,Steroid metabolism,Transferase,	active site:Proton acceptor,chain:Cytosolic sulfotransferase 2,nucleotide phosphate-binding region:PAPS,sequence conflict,
Q7T2V2	sulfotransferase family 1, cytosolic sulfotransferase 3(sult1st3)	Danio rerio				GO:0006584~catecholamine metabolic process,GO:0006629~lipid metabolic process,GO:0006805~xenobiotic metabolic process,GO:0008202~steroid metabolic process,	GO:0005737~cytoplasm,	GO:0001517~N-acetylglucosamine 6-O-sulfotransferase activity,GO:0001537~N-acetylgalactosamine 4-O-sulfotransferase activity,GO:0004394~heparan sulfate 2-O-sulfotransferase activity,GO:0008146~sulfotransferase activity,GO:0016232~HNK-1 sulfotransferase activity,GO:0016740~transferase activity,GO:0017095~heparan sulfate 6-O-sulfotransferase activity,GO:0018721~trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity,GO:0018722~1-phenanthrol sulfotransferase activity,GO:0018723~3-phenanthrol sulfotransferase activity,GO:0018724~4-phenanthrol sulfotransferase activity,GO:0018725~trans-3,4-dihydrodiolphenanthrene sulfotransferase activity,GO:0018726~9-phenanthrol sulfotransferase activity,GO:0018727~2-phenanthrol sulfotransferase activity,GO:0019111~phenanthrol sulfotransferase activity,GO:0034930~1-hydroxypyrene sulfotransferase activity,GO:0050694~galactose 3-O-sulfotransferase activity,GO:0050698~proteoglycan sulfotransferase activity,GO:0051922~cholesterol sulfotransferase activity,GO:0080131~hydroxyjasmonate sulfotransferase activity,	IPR000863:Sulfotransferase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Catecholamine metabolism,Complete proteome,Cytoplasm,Lipid metabolism,Reference proteome,Steroid metabolism,Transferase,	active site:Proton acceptor,chain:Cytosolic sulfotransferase 3,nucleotide phosphate-binding region:PAPS,
O73872	superoxide dismutase 1, soluble(sod1)	Danio rerio				GO:0006801~superoxide metabolic process,GO:0009410~response to xenobiotic stimulus,GO:0010038~response to metal ion,GO:0051597~response to methylmercury,GO:0055114~oxidation-reduction process,GO:0070050~neuron cellular homeostasis,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0004784~superoxide dismutase activity,GO:0005507~copper ion binding,GO:0008270~zinc ion binding,GO:0016209~antioxidant activity,GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,	IPR001424:Superoxide dismutase, copper/zinc binding domain,IPR018152:Superoxide dismutase, copper/zinc, binding site,IPR024134:Superoxide dismutase (Cu/Zn) / chaperones,	dre04146:Peroxisome,				Antioxidant,Complete proteome,Copper,Cytoplasm,Disulfide bond,Lipoprotein,Metal-binding,Nucleus,Oxidoreductase,Palmitate,Reference proteome,Zinc,	chain:Superoxide dismutase [Cu-Zn],disulfide bond,metal ion-binding site:Copper; catalytic,metal ion-binding site:Zinc; structural,
Q924W7	suppression of tumorigenicity 5(St5)	Mus musculus				GO:0070374~positive regulation of ERK1 and ERK2 cascade,		GO:0005085~guanyl-nucleotide exchange factor activity,GO:0017112~Rab guanyl-nucleotide exchange factor activity,	IPR001194:DENN domain,IPR005112:dDENN domain,IPR005113:uDENN domain,				SM00799:DENN,SM00800:uDENN,SM00801:dDENN,	Alternative promoter usage,Alternative splicing,Complete proteome,Guanine-nucleotide releasing factor,Phosphoprotein,Reference proteome,	chain:Suppression of tumorigenicity 5 protein,compositionally biased region:Pro-rich,domain:dDENN,domain:DENN,domain:uDENN,modified residue,splice variant,
O15524	suppressor of cytokine signaling 1(SOCS1)	Homo sapiens	12.IL-6_type_cytok-signal-transduct,	h_ghPathway:Growth Hormone Signaling Pathway,h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation,		GO:0001932~regulation of protein phosphorylation,GO:0006469~negative regulation of protein kinase activity,GO:0007259~JAK-STAT cascade,GO:0010534~regulation of activation of JAK2 kinase activity,GO:0016567~protein ubiquitination,GO:0019221~cytokine-mediated signaling pathway,GO:0031100~organ regeneration,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0032570~response to progesterone,GO:0040008~regulation of growth,GO:0042493~response to drug,GO:0042510~regulation of tyrosine phosphorylation of Stat1 protein,GO:0042512~negative regulation of tyrosine phosphorylation of Stat1 protein,GO:0042518~negative regulation of tyrosine phosphorylation of Stat3 protein,GO:0043434~response to peptide hormone,GO:0045444~fat cell differentiation,GO:0046426~negative regulation of JAK-STAT cascade,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0050707~regulation of cytokine secretion,GO:0060334~regulation of interferon-gamma-mediated signaling pathway,GO:0071230~cellular response to amino acid stimulus,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016023~cytoplasmic, membrane-bounded vesicle,	GO:0004860~protein kinase inhibitor activity,GO:0005159~insulin-like growth factor receptor binding,GO:0005515~protein binding,GO:0019210~kinase inhibitor activity,GO:0019901~protein kinase binding,	IPR000980:SH2 domain,IPR001496:SOCS protein, C-terminal,	hsa04120:Ubiquitin mediated proteolysis,hsa04380:Osteoclast differentiation,hsa04630:Jak-STAT signaling pathway,hsa04910:Insulin signaling pathway,hsa04917:Prolactin signaling pathway,hsa04930:Type II diabetes mellitus,hsa05145:Toxoplasmosis,hsa05206:MicroRNAs in cancer,			SM00252:SH2,SM00253:SOCS,SM00969:SM00969,	Complete proteome,Cytoplasmic vesicle,Growth regulation,Nucleus,Polymorphism,Reference proteome,SH2 domain,Signal transduction inhibitor,Ubl conjugation pathway,	chain:Suppressor of cytokine signaling 1,compositionally biased region:Poly-Ser,domain:SH2,domain:SOCS box,region of interest:Extended SH2 subdomain (ESS),region of interest:Interaction with Elongin BC complex,region of interest:Kinase inhibitory region (KIR),sequence conflict,sequence variant,
Q90X67	suppressor of cytokine signaling 3(SOCS3)	Gallus gallus				GO:0001932~regulation of protein phosphorylation,GO:0006469~negative regulation of protein kinase activity,GO:0007259~JAK-STAT cascade,GO:0016567~protein ubiquitination,GO:0019221~cytokine-mediated signaling pathway,GO:0040008~regulation of growth,GO:0043066~negative regulation of apoptotic process,GO:0045597~positive regulation of cell differentiation,GO:0046426~negative regulation of JAK-STAT cascade,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0050728~negative regulation of inflammatory response,	GO:0005622~intracellular,GO:0005737~cytoplasm,	GO:0004860~protein kinase inhibitor activity,	IPR000980:SH2 domain,IPR001496:SOCS protein, C-terminal,	gga04120:Ubiquitin mediated proteolysis,gga04630:Jak-STAT signaling pathway,gga04910:Insulin signaling pathway,gga04920:Adipocytokine signaling pathway,gga04931:Insulin resistance,gga05164:Influenza A,gga05168:Herpes simplex infection,			SM00252:SH2,SM00253:SOCS,SM00969:SM00969,	Complete proteome,Growth regulation,Phosphoprotein,Reference proteome,SH2 domain,Signal transduction inhibitor,Ubl conjugation pathway,	chain:Suppressor of cytokine signaling 3,domain:SH2,domain:SOCS box,region of interest:Extended SH2 subdomain (ESS),region of interest:Kinase inhibitory region (KIR),
O88583	suppressor of cytokine signaling 3(Socs3)	Rattus norvegicus				GO:0001558~regulation of cell growth,GO:0001666~response to hypoxia,GO:0001932~regulation of protein phosphorylation,GO:0006469~negative regulation of protein kinase activity,GO:0007165~signal transduction,GO:0007259~JAK-STAT cascade,GO:0007568~aging,GO:0009408~response to heat,GO:0009617~response to bacterium,GO:0009725~response to hormone,GO:0009968~negative regulation of signal transduction,GO:0010332~response to gamma radiation,GO:0014070~response to organic cyclic compound,GO:0016567~protein ubiquitination,GO:0019221~cytokine-mediated signaling pathway,GO:0031100~organ regeneration,GO:0032094~response to food,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0032570~response to progesterone,GO:0032868~response to insulin,GO:0034097~response to cytokine,GO:0035556~intracellular signal transduction,GO:0042493~response to drug,GO:0043066~negative regulation of apoptotic process,GO:0043434~response to peptide hormone,GO:0045595~regulation of cell differentiation,GO:0045597~positive regulation of cell differentiation,GO:0046426~negative regulation of JAK-STAT cascade,GO:0046627~negative regulation of insulin receptor signaling pathway,GO:0050728~negative regulation of inflammatory response,GO:0051384~response to glucocorticoid,GO:0060670~branching involved in labyrinthine layer morphogenesis,GO:0060674~placenta blood vessel development,GO:0060707~trophoblast giant cell differentiation,GO:0060708~spongiotrophoblast differentiation,	GO:0005622~intracellular,GO:0005737~cytoplasm,	GO:0004860~protein kinase inhibitor activity,	IPR000980:SH2 domain,IPR001496:SOCS protein, C-terminal,	rno04120:Ubiquitin mediated proteolysis,rno04380:Osteoclast differentiation,rno04630:Jak-STAT signaling pathway,rno04668:TNF signaling pathway,rno04910:Insulin signaling pathway,rno04917:Prolactin signaling pathway,rno04920:Adipocytokine signaling pathway,rno04930:Type II diabetes mellitus,rno04931:Insulin resistance,rno04932:Non-alcoholic fatty liver disease (NAFLD),rno05160:Hepatitis C,rno05164:Influenza A,rno05168:Herpes simplex infection,			SM00252:SH2,SM00253:SOCS,SM00969:SM00969,	Complete proteome,Growth regulation,Phosphoprotein,Reference proteome,SH2 domain,Signal transduction inhibitor,Ubl conjugation pathway,	chain:Suppressor of cytokine signaling 3,domain:SH2,domain:SOCS box,region of interest:Extended SH2 subdomain (ESS),region of interest:Kinase inhibitory region (KIR),sequence conflict,
A4IFJ1	synapse differentiation inducing 1 like(SYNDIG1L)	Bos taurus				GO:0009607~response to biotic stimulus,	GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,		IPR007593:Interferon-induced transmembrane protein,					Complete proteome,Golgi apparatus,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	chain:Capucin,compositionally biased region:Poly-Glu,transmembrane region,
A0RPR6	tRNA (guanine-N(1)-)-methyltransferase(CFF8240_RS05090)	Campylobacter fetus subsp. fetus 82-40					GO:0005737~cytoplasm,	GO:0052906~tRNA (guanine(37)-N(1))-methyltransferase activity,	IPR002649:tRNA (guanine-N1-)-methyltransferase, bacteria,IPR016009:tRNA (guanine-N1-)-methyltransferase,IPR023148:tRNA (guanine-N1-)-methyltransferase, C-terminal,			PIRSF000386:tRNA-(m1G37) methyltransferase,		Complete proteome,Cytoplasm,Methyltransferase,Reference proteome,S-adenosyl-L-methionine,Transferase,tRNA processing,	binding site:S-adenosyl-L-methionine; via amide nitrogen,chain:tRNA (guanine-N(1)-)-methyltransferase,region of interest:S-adenosyl-L-methionine binding,
Q4V7E0	tRNA methyltransferase O(Trmo)	Rattus norvegicus				GO:0030488~tRNA methylation,		GO:0003723~RNA binding,GO:0016430~tRNA (adenine-N6-)-methyltransferase activity,	IPR023368:Uncharacterised protein family UPF0066, conserved site,IPR023370:Uncharacterised domain UPF0066, YaeB-like domain,					Complete proteome,Methyltransferase,Reference proteome,RNA-binding,S-adenosyl-L-methionine,Transferase,tRNA processing,	chain:Nef-associated protein 1,
Q97B59	tRNA(Ile2) 2-agmatinylcytidine synthetase(TVG_RS03160)	Thermoplasma volcanium GSS1			General function prediction only,	GO:0002101~tRNA wobble cytosine modification,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,GO:0016879~ligase activity, forming carbon-nitrogen bonds,	IPR013696:Domain of unknown function DUF1743,IPR024913:tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS,					ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,tRNA processing,
A4SHG2	tRNA/tmRNA (uracil-C(5))-methyltransferase(ASA_RS00820)	Aeromonas salmonicida subsp. salmonicida A449						GO:0030697~S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity,	IPR010280:(Uracil-5)-methyltransferase,IPR011869:tRNA (uracil(54)-C(5))-methyltransferase,TrmA,  proteobacteria,					Complete proteome,Methyltransferase,S-adenosyl-L-methionine,Transferase,tRNA processing,	active site:Nucleophile,binding site:S-adenosyl-L-methionine,binding site:S-adenosyl-L-methionine; via carbonyl oxygen,chain:tRNA (uracil-5-)-methyltransferase,
P67934	tachykinin 3(TAC3)	Sus scrofa				GO:0007217~tachykinin receptor signaling pathway,GO:0007218~neuropeptide signaling pathway,	GO:0005576~extracellular region,GO:0070062~extracellular exosome,		IPR003635:Neurokinin,IPR013055:Tachykinin/Neurokinin-like, conserved site,			PIRSF001843:neurokinin B,		Amidation,Cleavage on pair of basic residues,Complete proteome,Direct protein sequencing,Neuropeptide,Reference proteome,Secreted,Signal,
